get away	clean
go ahead	full throttle
go wrong	terribly
slow down	to a crawl
stumbling block	basic
stumbling block	basic
stumbling block	main
stumbling block	major
stumbling block	major
throw oneself	the head first
abandon	wild
abilities	outstanding
ability	formidable
ability	uncanny
absurd	patently
abyss	yawning
accent	dreadful
accent	heavy
accent	strong
accent	thick
accept	by acclamation
acceptance	unconditional
acceptance	unqualified
accepted	generally
access	full
access	unfettered
accident	bad
acclaim	considerable
acclaim	stormily
acclaim	world-wide
accolade	highest
accolade	supreme
account	riveting
account	vivid
accusation	grave
accusation	heavy
accusation	serious
accusation	severe
achievement	great
achievement	momentous
act	expeditiously
act	quickly and decisively
act	swiftly
action	drastic
action	harsh
action	swift
action	tough
action	vigorous
addictive	highly
admiration	boundless
admiration	utmost
admire	greatly
admirer	great
advance	greatly
advantage	full
advantage	huge
advantage	important
advantage	maximum
adventure	big
advise	strongly
affair	steamy
affect	deeply
affect	profoundly
against	adamantly
age	old
age	advanced
agony	deep
agree	cannot agree more
agree	completely
agreed	universally
agreement	full
ahead	straight
alcohol	heady
alcohol	strong
alert	high
alibi	cast-iron
alignment	strong
alike	as ... as two eggs
alike	as ... as two peas in a pod
allowance	considerable
ally	staunch
alter	irrevocably
amazed	utterly
amazement	stunned
amazement	utter
amazing	jaw-dropping
amazing	stunning
amount	huge
amount	tremendous
amount	vast
analysis	deep
analysis	exhaustive
analysis	profound
anger	deep
anger	fierce
anger	great
animosity	strong
annoy	dreadfully
anticipation	high
appalled	absolutely
apart	poles
apologize	from the bottom of my heart
apologize	profusely
apology	deepest
apology	most humble
apology	strong
appetite	a wolf’s
appetite	insatiable
appetite	ravenous
appetite	voracious
applaud	loudly
applaud	warmly
applause	deafening
applause	enthusiastic
applause	frenetic
applause	frenzied
applause	heavy
applause	loud
applause	raging
applause	rapturous
applause	terrific
applause	thunderous
applause	tumultuous
apply oneself	diligently
appreciate	deeply
appreciate	fully
appreciate	greatly
appreciate	really
appreciate	very much
appreciation	deep
apprehension	deep
approval	strong
approximation	close
argue	heatedly
argument	clinching
argument	cogent
argument	compelling
argument	conclusive
argument	convincing
argument	good
argument	heated
argument	knock-down
argument	persuasive
argument	powerful
argument	strong
argument	trenchant
argument	unassailable
argument	weighty
argumentation	stringent
armed	heavily
armed	to the teeth
artillery	heavy
asleep	sound
asleep	soundly
assault	full-scale
associated	closely
associated	firmly
assumed	widely
astonishment	gross
at odds	sharply
atrocity	unspeakable
attack	blistering
attack	blistering
attack	from all sides
attack	full-scale
attack	full-scale
attack	heavy
attack	large-scale
attack	savage
attack	scathing
attack	sharp
attack	stinging
attack	strong
attack	tremendous
attack	vigorously
attack	violent
attack	violently
attention	avid
attention	careful
attention	close
attention	considerable
attention	heavy
attention	heightened
attention	intense
attention	meticulous
attention	rapt
attention	strict
attention	undivided
attention	uppermost
attention	utmost
attraction	deep
authority	absolute
authority	confirmed
authority	leading
available	widely
avoid	like the plague
await	eagerly
awake	broad
awake	wide
aware	deeply
aware	fully
awe	great
awry	disastrously
bachelor	confirmed
back	solidly
back	way
backing	strong
bad	egregious
bad	garish
bad	gaudy
bad	monstrous
bald	as an egg
bargain	hard
basis	firm
basis	solid
battle	bitter
battle	bloody
battle	fierce
battle	great
battle	gruelling
battle	hard
battle	pitched
battle	royal
beat	the bejeezus
beat	to a pulp
beat	badly
beat	completely
beat	soundly
beaten up	badly
beating	brutal
beautiful	divinely
beautiful	spectacularly
beautiful	strikingly
beauty	breathtaking
beauty	extreme
beauty	rare
beauty	raving
beer	strong
before	way
behind	firmly
behind	solidly
belief	firm
belief	staunch
belief	strong
believe	from the bottom of [NX’s] heart
believe	heart and soul
believe	fervently
believe	staunchly
believe	strongly
believer	big
believer	firm
believer	huge
believer	staunch
beloved	beyond words
benefit	enormous
benefit	great
benefit	greatly
benefit	largely
best	in the world
best	under the sun
betrayal	brazen
betrayal	searing
bid	desperate
big	as an ox
big	as house
bill	hefty
bill	huge
black	coal
black	as coal
black	as pitch
black	as soot
black	as tar
black	pitch
blamed	widely
bleed	copiously
bleed	heavily
bleed	profusely
bleed	to death
blind	as a bat
blood pressure	high
blow	crippling
blow	devastating
blow	fatal
blow	grievous
blow	hard
blow	heavy
blow	last
blow	major
blow	mortal
blow	severe
blow	significant
blow	softly
blow	stunning
blunder	grave
blunder	monumental
blush	deeply
blush	furiosly
blush	hotly
blush	painfully
blush	profusely
blush	to the roots of one’s hair
blush	violently
bold	as brass
bombardment	heavy
bond	strong
bond	unbreakable
booked	solid
boost	big
boost	great
border	impenetrable
bore	crashing
bore	dreadful
bore	stiff
bore	to death
bore	to tears
bore	to tears
bored	stiff
bored	to death
boring	dead
bother	no end
bother	perpetually
bottom	rock
boundaries	wide
brake	hard
brave	as a lion
breach	flagrant
break	sharply
breakthrough	sweeping
breath	deep
breathe	deeply
breathe	with full lungs
breeze	brisk
breeze	stiff
bright	as day
bright	as a button
brunt	full
burden	big
burden	staggering
buried	deeply
